0.015,16.3914,3.488
0.015,16.5985,3.539
0.015,15.2889,2.331
0.015,17.9278,2.81
0.015,16.6977,2.562
0.015,15.6131,1.683
0.015,15.8473,2.595
0.015,15.6404,2.666
0.015,16.4604,2.575
0.015,16.1523,2.877
0.015,14.5997,1.987
0.015,16.279,2.662
0.015,16.2103,1.847
0.015,16.3713,2.055
0.015,15.4817,2.075
0.015,19.6863,2.492
0.015,17.3272,2.204
0.015,17.5,2.855
0.015,16.3301,2.422
0.015,16.3989,2.348
0.015,16.8035,2.574
0.015,19.8073,2.846
0.015,16.5964,2.607
0.015,14.3809,1.997
0.015,17.5037,2.188
0.015,17.6345,2.657
0.015,16.7625,2.659
0.015,14.3916,2.135
0.015,18.3272,1.813
0.015,13.6495,1.509
0.015,16.0938,2.587
0.015,16.8206,2.696
0.015,16.5158,2.969
0.015,18.4059,3.357
0.015,19.3653,2.922
0.015,17.4579,2.442
0.015,16.2424,2.289
0.015,17.0862,2.877
0.015,16.5131,3.194
0.015,13.061,1.596
0.015,17.3043,2.744
0.015,17.0267,2.099
0.015,14.7088,2.497
0.015,16.4538,2.986
0.015,17.8252,3.186
0.015,17.5213,2.63
0.015,15.5302,1.847
0.015,18.5473,3.045
0.015,16.2408,2.395
0.015,16.9623,3.01
0.015,17.6322,2.919
0.015,17.1288,1.916
0.015,17.8653,2.809
0.015,18.4505,2.74
0.015,15.6624,2.47
0.015,15.5766,2.623
0.015,16.3862,2.511
0.015,17.3782,2.812
0.015,16.5567,2.528
0.015,16.9311,2.475
0.015,15.7125,2.152
0.015,16.4749,2.793
0.015,15.0524,2.644
0.015,17.1536,2.462
0.015,15.8279,2.06
0.015,17.4357,3.099
0.015,15.9598,2.416
0.015,18.7131,3.558
0.015,14.6282,2.524
0.015,13.5066,1.636
0.015,17.155,2.554
0.015,16.558,3.144
0.015,16.7429,2.91
0.015,16.9807,2.533
0.015,16.3427,2.406
0.015,17.0047,2.775
0.015,16.7615,2.956
0.015,16.0727,2.347
0.015,19.057,2.118
0.015,19.4045,2.601
0.015,16.8596,2.445
0.015,15.6048,2.382
0.015,18.3053,2.458
0.015,18.0138,3.458
0.015,15.2888,2.307
0.015,15.8757,2.192
0.015,17.4246,2.762
0.015,15.5436,1.964
0.015,14.9366,2.83
0.015,16.6082,2.235
0.015,13.323,2.209
0.015,16.8703,2.807
0.015,14.7489,1.803
0.015,14.0468,1.69
0.015,14.1713,2.36
0.015,16.0747,2.397
0.015,17.5737,2.844
0.015,19.4634,2.764
0.015,17.9424,3.178
0.015,19.6717,3.371
0.015,21.1858,2.817
0.015,13.7833,2.18
0.015,15.4615,2.075
0.015,13.0382,1.374
0.015,15.1104,1.793
0.015,16.4375,2.208
0.015,16.5303,2.683
0.015,14.4204,1.944
0.015,15.8089,3.367
0.015,16.6455,2.451
0.015,16.0537,2.292
0.015,16.4706,2.212
0.015,17.2053,2.837
0.015,19.1702,3.25
0.015,17.34,2.865
0.015,16.0709,2.542
0.015,17.3794,2.429
0.015,15.6764,2.001
0.015,17.1661,2.537
0.015,17.5242,2.411
0.015,16.816,2.538
0.015,16.7697,2.31
0.015,17.0029,2.381
0.015,16.7397,2.639
0.015,14.3557,2.063
0.015,17.2579,2.666
0.015,15.9383,2.318
0.015,15.851,2.788
0.015,17.8499,3.535
0.015,17.8133,2.463
0.015,15.5717,2.282
0.015,16.4047,3.257
0.015,15.8573,1.749
0.015,18.8806,3.417
0.015,16.6455,2.148
0.015,16.687,2.496
0.015,14.2594,3.073
0.015,15.6667,2.773
0.015,16.7059,2.375
0.015,13.5058,1.414
0.015,15.8623,2.092
0.015,22.2584,3.702
0.015,14.9319,1.777
0.015,17.404,2.912
0.015,16.0506,2.662
0.015,17.6695,2.386
0.015,17.1064,2.746
0.015,17.8615,2.881
0.015,16.1453,3.047
0.015,17.4003,3.03
0.015,15.4759,1.967
0.015,13.0504,1.266
0.015,15.3739,3.063
0.015,14.5791,2.342
0.015,19.6291,2.959
0.015,15.8475,2.319
0.015,16.2851,2.505
0.015,18.1346,2.996
0.015,17.2647,3.241
0.015,16.9602,2.732
0.015,16.6327,2.424
0.015,15.02,1.892
0.015,16.5272,2.394
0.015,16.4106,2.117
0.015,17.3282,2.655
0.015,16.5282,2.794
0.015,16.9692,2.585
0.015,15.1551,2.64
0.015,16.3981,2.512
0.015,17.4694,3.094
0.015,14.4199,1.657
0.015,16.8188,2.366
0.015,17.4045,2.129
0.015,17.4543,2.598
0.015,16.7799,2.559
0.015,15.1111,2.44
0.015,16.4364,2.277
0.015,17.111,2.522
0.015,17.5523,2.647
0.015,14.4334,1.889
0.015,16.6178,4.008
0.015,16.4761,2.931
0.015,14.5812,2.219
0.015,16.4821,2.564
0.015,15.2616,1.94
0.015,18.7395,2.889
0.015,15.336,2.145
0.015,18.0706,2.929
0.015,16.1734,2.955
0.015,17.6428,2.905
0.015,16.9419,2.719
0.015,16.866,2.467
0.015,16.0736,3.667
0.015,16.1627,3.115
0.015,14.6723,2.312
0.015,17.0809,2.791
0.015,15.697,1.907
0.015,17.3623,3.339
0.015,17.2808,2.716
0.015,15.3135,3.172
0.02,15.569,2.197
0.02,20.2857,2.354
0.02,17.3948,1.699
0.02,15.1472,1.921
0.02,16.4392,2.061
0.02,17.7696,1.222
0.02,15.8537,1.748
0.02,14.9225,1.544
0.02,16.7949,1.545
0.02,18.2087,1.873
0.02,15.9376,1.398
0.02,17.8564,1.896
0.02,16.205,1.66
0.02,16.9658,1.739
0.02,16.7617,1.917
0.02,16.7635,1.571
0.02,17.9204,1.771
0.02,15.4507,2.309
0.02,15.1468,1.681
0.02,15.7836,1.424
0.02,14.9565,2.079
0.02,16.8914,2.07
0.02,16.4086,1.694
0.02,17.6416,2.226
0.02,18.3428,1.621
0.02,15.7294,1.731
0.02,17.4398,1.811
0.02,18.8197,2.049
0.02,15.3329,1.658
0.02,16.4259,1.859
0.02,17.6127,1.87
0.02,14.8056,1.274
0.02,16.87,1.86
0.02,14.6128,1.471
0.02,14.9325,1.163
0.02,19.1515,1.75
0.02,17.6485,2.043
0.02,15.8099,1.638
0.02,16.6298,1.695
0.02,13.1051,1.62
